"subj_idx","series","shapeEn","shapeNameEn","characterNameEn","misNum","condition","blockNum","n"
"sv020001",1,"square","pentagon",NA,3,"mismatch",7,4
"sv020001",1,"square","pentagon",NA,3,"mismatch",8,4
"sv020001",1,"square","square",NA,1,"match",1,12
"sv020001",1,"square","square",NA,1,"match",2,12
"sv020001",1,"square","square",NA,1,"match",3,12
"sv020001",1,"square","square",NA,1,"match",4,12
"sv020001",1,"square","square",NA,2,"match",9,12
"sv020001",1,"square","square",NA,2,"match",10,12
"sv020001",1,"square","square",NA,2,"match",11,12
"sv020001",1,"square","square",NA,2,"match",12,12
"sv020001",1,"square","square",NA,3,"match",5,12
"sv020001",1,"square","square",NA,3,"match",6,12
"sv020001",1,"square","square",NA,3,"match",7,12
"sv020001",1,"square","square",NA,3,"match",8,12
"sv020001",1,"square","triangle",NA,3,"mismatch",5,4
"sv020001",1,"square","triangle",NA,3,"mismatch",6,4
"sv020001",1,"square","triangle",NA,3,"mismatch",7,4
"sv020001",1,"square","triangle",NA,3,"mismatch",8,4
"sv020001",1,"triangle","circular",NA,3,"mismatch",5,4
"sv020001",1,"triangle","circular",NA,3,"mismatch",6,4
"sv020001",1,"triangle","circular",NA,3,"mismatch",7,4
"sv020001",1,"triangle","circular",NA,3,"mismatch",8,4
"sv020001",1,"triangle","pentagon",NA,2,"mismatch",9,6
"sv020001",1,"triangle","pentagon",NA,2,"mismatch",10,6
"sv020001",1,"triangle","pentagon",NA,2,"mismatch",11,6
"sv020001",1,"triangle","pentagon",NA,2,"mismatch",12,6
"sv020001",1,"triangle","pentagon",NA,3,"mismatch",5,4
"sv020001",1,"triangle","pentagon",NA,3,"mismatch",6,4
"sv020001",1,"triangle","pentagon",NA,3,"mismatch",7,4
"sv020001",1,"triangle","pentagon",NA,3,"mismatch",8,4
"sv020001",1,"triangle","square",NA,1,"mismatch",1,12
"sv020001",1,"triangle","square",NA,1,"mismatch",2,12
"sv020001",1,"triangle","square",NA,1,"mismatch",3,12
"sv020001",1,"triangle","square",NA,1,"mismatch",4,12
"sv020001",1,"triangle","square",NA,2,"mismatch",9,6
"sv020001",1,"triangle","square",NA,2,"mismatch",10,6
"sv020001",1,"triangle","square",NA,2,"mismatch",11,6
"sv020001",1,"triangle","square",NA,2,"mismatch",12,6
"sv020001",1,"triangle","square",NA,3,"mismatch",5,4
"sv020001",1,"triangle","square",NA,3,"mismatch",6,4
"sv020001",1,"triangle","square",NA,3,"mismatch",7,4
"sv020001",1,"triangle","square",NA,3,"mismatch",8,4
"sv020001",1,"triangle","triangle",NA,1,"match",1,12
"sv020001",1,"triangle","triangle",NA,1,"match",2,12
"sv020001",1,"triangle","triangle",NA,1,"match",3,12
"sv020001",1,"triangle","triangle",NA,1,"match",4,12
"sv020001",1,"triangle","triangle",NA,2,"match",9,12
"sv020001",1,"triangle","triangle",NA,2,"match",10,12
"sv020001",1,"triangle","triangle",NA,2,"match",11,12
"sv020001",1,"triangle","triangle",NA,2,"match",12,12
"sv020001",1,"triangle","triangle",NA,3,"match",5,12
"sv020001",1,"triangle","triangle",NA,3,"match",6,12
"sv020001",1,"triangle","triangle",NA,3,"match",7,12
"sv020001",1,"triangle","triangle",NA,3,"match",8,12
